"id","headline","is_approximate_address","address","city","state","latitude","longitude","formatted_address","inc_date","inc_time","inc_type","is_homicide","victim_count","killed_count","is_victims_unknown","summary","suspect_count","is_suspects_unknown","inc_slug"
"2","16-year-old boy shot","0","Eighth and Madison Streets","Wilmington","DE","39.7459333","-75.5554249","N Madison St & W 8th St, Wilmington, DE 19801","2011-01-01","22:36:00","SH","0","1","0","0","A 16-year-old boy, who police had not identified, was shot once as he walked near Eight and Madison streets. He was taken to Christiana Hospital for injuries that were not life threatening.","0","1","16-year-old-boy-shot"
"3","16-year-old shot in torso","0","700 E. 23rd Street","Wilmington","DE","39.7500469","-75.5341169","700 E 23rd St, Wilmington, DE 19802","2011-01-01","18:40:00","SH","0","1","0","0","The boy was shot once in the torso and taken to Christiana Hospital in serious but stable condition.","0","1","16-year-old-shot-torso"
"4","Man shot in arm","0","Fifth and Madison Streets","Wilmington","DE","39.7436705","-75.5569793","N Madison St & W 5th St, Wilmington, DE 19801","2011-01-01","12:26:00","SH","0","1","0","0","Officers responding to a report of shots fired found several spent casings but no victim, but they later received a call from Wilmington Hospital about a shooting victim who had arrived by private vehicle. The man, who was in stable condition, told police he was inside the corner market and heard several gunshots as he left. He started to run, the man told police, only to realize he had been struck in his left arm. He told police he flagged down a passing driver who drove him to the emergency room.","0","1","man-shot-arm"
"5","Man shot several times on Fifth Street","1","500 W. Fifth St.","Wilmington","DE","39.742759","-75.5553429","500 W 5th St, Wilmington, DE 19801","2011-01-02","21:55:00","SH","0","1","0","0","Police called to the 500 block found the man with several gunshot wounds. He was taken to Christiana Hospital in critical but stable condition.","0","1","man-shot-several-times-fifth-street"
"6","Two shot at nightclub","0","2511 W 4th st","Wilmington","DE","39.7520219","-75.57895","2511 W 4th St, Wilmington, DE 19805","2011-01-02","00:15:00","SH","0","2","0","0","Police said the two men were shot inside the 317 Nightclub and took private vehicles to local hospitals for treatment of minor injuries.","1","0","two-shot-nightclub"
"7","Man shot in shoulder","1","1000 Trenton Place","Wilmington","DE","39.748747","-75.55541","1000 Trenton Pl, Wilmington, DE 19801","2011-01-03","21:39:00","SH","0","1","0","0","Officers responding to a report of shots fired found a 21-year-old man, who they did not identify, with a gunshot wound to his left shoulder. He told police he was walking on the block when three or four gunmen opened fire on him. He told police he dove under a car to dodge bullets. He was taken to the hospital in stable condition.","0","1","man-shot-shoulder"
"8","Man shot in knee","0","10th and Bennett Streets","Wilmington","DE","39.7422607","-75.5397979","E 10th St & Bennett St, Wilmington, DE 19801","2011-01-07","23:04:00","SH","0","1","0","0","Officers called to the block learned the victim, who police have not identified, had been taken by private vehicle to Wilmington Hospital, where he was treated for a gunshot wound to the knee. The victim would not cooperate with investigators, police said.","0","1","man-shot-knee"
"9","23-year-old shot multiple times","1","2200 N Market St","Wilmington","DE","39.752574","-75.539483","2200 N Market St, Wilmington, DE 19802","2011-01-10","23:05:00","SH","0","1","0","0","The man, who police did not identify, was shot multiple times and taken to Christiana Hospital in critical condition.","0","1","23-year-old-shot-multiple-times"
"10","Man shot, killed on Jefferson Street","1","800 Jefferson St","Wilmington","DE","39.745627","-75.554073","800 N Jefferson St, Wilmington, DE 19801","2011-01-22","20:30:00","SH","1","1","1","0","Police responding to a report of a person ""down in the street'' found Rashaun Carter in cardiac arrest with several gunshot wounds. He was rushed to Christiana Hospital, where he was pronounced dead.

Police said they conducted door-to-door canvases of the neighborhood, distributing flyers about the murder, and could not find any witnesses to the slaying.","0","1","man-shot-killed-jefferson-street"
"11","Man shot in ankle","1","400 W Fifth St","Wilmington","DE","39.7423701","-75.5537943","400 W 5th St, Wilmington, DE 19801","2011-01-26","17:40:00","SH","0","1","0","0","Police responding to a report of a shooting found the man with a gunshot wound to the left ankle. The victim told police a man dressed in black clothing tried to rob him, fired one shot and fled. ","0","1","man-shot-ankle"
"12","Man shot during robbery","0","300 Townsend Street","Wilmington","DE","39.731425","-75.543096","300 Townsend St, Wilmington, DE 19801","2011-01-28","21:15:00","SH","0","1","0","0","Police said three armed men burst through the victim's front door, robbed several people inside and shot the unidentified man during a struggle. He suffered numerous wounds and was taken in critical condition to Christiana Hospital, where he underwent surgery.","0","1","man-shot-during-robbery"
"13","Man shot in chest, paralyzed","1","300 New Castle Ave.","Wilmington","DE","39.731058","-75.542181","300 New Castle Ave, Wilmington, DE 19801","2011-01-30","13:51:00","SH","0","1","0","0","Police responding to a report of shots fired found Jonathan Simmons, 39, with a gunshot wound to his chest. He was taken to Christiana Hospital in critical condition. Simmons survived, but he lost the use of his legs because of the wound. Rashie harris, 23, was arrested Feb. 17, 2011 and found guilty at trial.","1","0","man-shot-chest"
"14","Man shot on 25th Street","1","200 West 25th Street","Wilmington","DE","39.7559091","-75.5382263","200 W 25th St, Wilmington, DE 19802","2011-02-15","19:09:00","SH","0","1","0","0","Police responding to a report of a shooting found an unidentified man in his 20s suffering from gunshot wounds. He was taken to Christiana Hospital in stable condition. Emedio Jone, 25, was arrested but found not guilty.","1","0","man-shot-25th-street"
"15","29-year-old shot, killed","0","N. Rodney Street and Lancaster Avenue","Wilmington","DE","39.744341","-75.568434","Lancaster Ave & N Rodney St, Wilmington, DE 19805","2011-02-17","21:00:00","SH","1","1","1","0","Police responding to a report of shots fired found Michael Davis in the street with multiple gunshot wounds. He was rushed to Christiana Hospital, where he was pronounced dead.","0","1","29-year-old-shot-killed"
"16","Taxi driver robbed, killed","1","100 Christiana Landing","Wilmington","DE","39.73284","-75.540642","100 Christiana Ave, Wilmington, DE 19801","2011-03-05","21:49:00","SH","1","1","1","0","Officers responding to a report that a taxicab had crashed into a pole found that Nahum Dalmace, the driver, was shot in the torso. Dalmace had picked up his alleged assailants in Bear, but was robbed and shot in the neck after he brought the two into Wilmington. The .357 Magnum bullet traveled downward, hit his spinal cord and left lung and exited under his left arm pit, court records said. Dalmace, who lived near New Castle, died on March 18.","2","0","taxi-driver-robbed-killed"
"17","16-year-old killed after argument","0","Chestnut and S. Harrison Streets","Wilmington","DE","39.741847","-75.565235","Chestnut St & S Harrison St, Wilmington, DE 19805","2011-03-05","00:25:00","SH","1","2","1","0","Ronald Kelson, who was featured in a local documentary about Wilmington crime violence as a teen poised to turn his life around, was shot after arguing with another man, police said. The man fired some 20 shots, including four that struck two homes.

Kelson was hit in the lower back, and the bullet severed the femoral artery that carries blood to the lower extremities, causing a heavy loss of blood. He was rushed to Christiana Hospital, where he was pronounced dead. On the night he was killed, there was a screening of the film at the Delaware Art Museum, but Kelson did not attend.                                                                  

The other victim was shot in the left elbow.","1","0","16-year-old-killed-after-argument"
"18","Man shot several times on Market Street","1","2200 N. Market St.","Wilmington","DE","39.752574","-75.539483","2200 N Market St, Wilmington, DE 19802","2011-03-21","22:20:00","SH","0","1","0","0","Officers on patrol heard several shots and saw the victim fall to the ground and a man dressed in black clothing running from the scene. The man was shot in the torso several times and the left forearm and taken to Christiana Hospital, where he underwent emergency surgery.

He later told police who interviewed him at the hospital that two men he did not know approached from behind. They displayed handguns, he said, and robbed him of his cell phone while one fired several shots.","1","0","man-shot-several-times-market-street"
"19","Woman shot during drug deal","1","1900 Washington Street","Wilmington","DE","39.75414","-75.54449","1900 N Washington St, Wilmington, DE 19802","2011-03-25","20:00:00","SH","0","1","0","0","A woman was shot in the left leg while she was trying to buy the painkiller oxycodone from a dealer she knew. The woman told police she and two passengers in her car were confronted by a stranger with a handgun.

One passenger, a 30-year-old man, struggled with the gunman and the victim attempted to drive off, she told police, only to be struck in the left leg when he fired two shots. The male passenger and a 13-year-old girl in the car were not injured.","3","0","woman-shot-during-drug-deal"
"20","Two men shot on Van Buren Street","1","300 S. Van Buren Street","Wilmington","DE","39.740586","-75.564541","300 S Van Buren St, Wilmington, DE 19805","2011-03-25","14:25:00","SH","0","2","0","0","Police responding to a report of shots fired found the two men with numerous gunshot wounds. Both were taken to Christiana Hospital in stable condition.","0","1","two-men-shot-van-buren-street"
"21","Man shot in abdomen","1","0 E. 24th Street","Wilmington","DE","39.7536239","-75.5377358","0 E 24th St, Wilmington, DE 19802","2011-03-27","17:34:00","SH","0","1","0","0","Officers responding to a report of a shooting found an 18-year-old man, who lives on the block, with a gunshot wound to his abdomen. The victim was uncooperative at the scene, police said. He was taken to Christiana Hospital in critical but stable condition.","1","0","man-shot-abdomen"
"22","Man shot in buttocks","1","800 W. Ninth St.","Wilmington","DE","39.747556","-75.555948","800 W 9th St, Wilmington, DE 19801","2011-03-31","20:50:00","SH","0","1","0","0","The man was shot in his left buttock and taken by private car to Wilmington Hospital, where he was in stable condition.

No one has been arrested and police have released no further information.","0","1","man-shot-buttocks"
"23","Man shot in calf","0","24th and West Street","Wilmington","DE","39.7554774","-75.539172","N West St & W 24th St, Wilmington, DE 19802","2011-04-10","20:30:00","SH","0","1","0","0","Officers were dispatched to St. Francis Hospital to investigate a report that a shooting victim had arrived by private car. The man, who was in stable condition with a bullet wound to his right calf, told police he was standing on the corner when he was approached by a stranger who began shooting at him. He told police he flagged down a car and was driven to the hospital.","0","1","man-shot-calf"
"24","Man shot in head during robbery","1","Ninth and Jefferson Streets","Wilmington","DE","39.7467544","-75.5534688","N Jefferson St & W 9th St, Wilmington, DE 19801","2011-04-13","00:05:00","SH","0","1","0","0","Police responding to a report of shots fired found the victim with a gunshot wound to his head. The man was taken to Christiana Hospital in stable condition. The victim said he was sitting in a vehicle when a man with a handgun forced him out and demanded money. The two struggled and the victim was struck several times with the weapon, which went off. The gunman took money from the victim and ran off, police said.

Brandon A. Boddy, 24, was arrested shortly after the incident when police found him a few blocks from the scene with blood on his face and hands.","1","0","man-shot-head-during-robbery"
"25","Man shot in groin","1","900 Spruce Street","Wilmington","DE","39.741646","-75.540777","900 Spruce St, Wilmington, DE 19801","2011-04-16","02:45:00","SH","0","1","0","0","Police were called to Christiana Hospital about a victim who had arrived by private vehicle. The man told police he was walking in the area looking at his cell phone and heard two gunshots. He told police he started to run but felt pain in his groin area and realized he had been shot. He was treated for a superficial wound.","0","1","man-shot-groin"
"26","Man shot in upper thigh","1","700 Taylor Street","Wilmington","DE","39.7410039","-75.5414526","700 Taylor St, Wilmington, DE 19801","2011-04-16","00:40:00","SH","0","1","0","0","Police were called to Wilmington Hospital about a victim who had arrived by private vehicle. The man told police he was walking alone when he heard three gunshots and started to run, only to feel pain in his upper thigh. He told police he realized he had been shot and flagged down a family friend, who drove him to the hospital.","0","1","man-shot-upper-thigh"
"27","Man playing basketball shot, killed","1","200 N. Jackson Street","Wilmington","DE","39.7426467","-75.5618719","200 N Jackson St, Wilmington, DE 19805","2011-04-18","18:02:00","SH","1","1","1","0","Brown was shot in the abdomen and wrist while playing basketball at courts under Interstate 95 when a man approached him and began firing, police said. He was rushed to Christiana Hospital where he underwent emergency surgery but he was pronounced dead about 4 1/2 hours after the shooting.","0","1","man-playing-basketball-shot-killed"
"28","Man shot, killed on 23rd Street","1","300 East 23rd Street","Wilmington","DE","39.7515639","-75.5360781","300 E 23rd St, Wilmington, DE 19802","2011-04-24","22:12:00","SH","1","1","1","0","Officers responding to a report of a person lying on the sidewalk found Williams unconscious and responsive from a gunshot wound to the chest. He was rushed to Christiana Hospital, where he was pronounced dead.","1","0","man-shot-killed-23rd-street"
"29","Man caught in crossfire, shot","1","Ninth and Spruce Streets","Wilmington","DE","39.7416486","-75.5410302","Spruce St & E 9th St, Wilmington, DE 19801","2011-04-26","23:42:00","SH","0","1","0","0","Police called to Wilmington Hospital found a man with a gunshot wound to his left thigh. He told police he was standing on the corner when gunfire erupted and he was caught in the crossfire between separate groups.","0","1","man-caught-crossfire-shot"
"30","Paraplegic shooting victim shot again, killed","1","28th and Jefferson Streets","Wilmington","DE","39.7589523","-75.5367915","N Jefferson St & W 28th St, Wilmington, DE 19802","2011-04-27","15:31:00","SH","1","2","1","0","Antonio Smith, a paraplegic confined to a wheelchair from being shot in Wilmington about eight years earlier, was found in a front yard, shot once in the chest with a .40-caliber handgun. He was rushed to Christiana Hospital, where he was pronounced dead.

Talib-din, a resident of Upper Darby, Pa., was found in an alley between 2806 and 2808 Jefferson St., with eight gunshot wounds, and taken to Christiana Hospital in critical condition.

Medford Holmes, of Wilmington, was arrested and charged in connection with the shooting. A jury was unable to reach a verdict, resulting in a mistrial.","1","0","paraplegic-shooting-victim-shot-again-killed"
"31","Man shot on read Street","1","100 Read Street","Wilmington","DE","39.7428231","-75.5659657","Read St, Wilmington, DE 19805","2011-04-29","20:37:00","SH","0","1","0","0","Police responding to a report of shots fired found no victim but the man had already been taken by private vehicle to St. Francis Hospital in stable condition.","1","0","man-shot-read-street"
"32","Man shot in torso","1","1600 West 5th Street","Wilmington","DE","39.748015","-75.5682269","1600 W 5th St, Wilmington, DE 19805","2011-04-29","03:57:00","SH","0","1","0","0","Police responding to a report of shots fired found the man with a bullet wound to his right upper torso. He was taken to Christiana Hospital in critical condition.","1","0","man-shot-torso"
"33","Man shot, killed on 10th Street","1","700 E. 10th St.","Wilmington","DE","39.7425002","-75.5404043","700 E 10th St, Wilmington, DE 19801","2011-05-01","02:11:00","SH","1","1","1","0","Police found Tyrelle Boyd unconscious and unresponsive with unspecified wounds and tried to revive him until paramedics arrived and took him to Christiana Hospital, where he was pronounced dead.","0","1","man-shot-killed-10th-street"
"34","Woman shot after fight breaks out","0","1100 W. Second Street","Wilmington","DE","39.743012","-75.563216","1100 W 2nd St, Wilmington, DE 19805","2011-05-14","22:34:00","SH","0","1","0","0","A woman, who was shot in her lower left leg, told police she was in her house when a large fight started out front. She walked outside to investigate, heard two gunshots and realized she had been shot, she told police. ","0","1","woman-shot-after-fight-breaks-out"
"35","Stray bullet strikes woman","0","340 Townsend Street","Wilmington","DE","39.730807","-75.543521","340 Townsend St, Wilmington, DE 19801","2011-05-14","13:13:00","SH","0","1","0","0","Police responding to a report of shots fired found a woman inside a building with a bullet wound to her right upper thigh. She sustained a ""contusion'' from the bullet wound and declined medical treatment, police said. Police said witnesses told them several people were fighting and one began shooting ""up and down the block,'' striking nine homes, two cars and the woman, who was inside her grandmother's home.","0","1","stray-bullet-strikes-woman"
"36","Woman shot in foot","1","W. 6th and N. Adams streets","Wilmington","DE","39.745323","-75.5586467","N Adams St & W 6th St, Wilmington, DE 19801","2011-05-17","01:00:00","SH","0","1","0","0","Police responding to a report of a shooting found no victim but 45 minutes later received a call from Wilmington Hospital about a woman seeking treatment for a bullet wound to her right foot. The victim told police she was crossing over Interstate 95 when she heard gunfire and felt a burning sensation in her foot, then looked down and saw blood coming from a wound. She said she called a relative to drive her to the hospital.","0","1","woman-shot-foot"
"37","Man shot during robbery","0","Buena Vista Street and Vandever Ave.","Wilmington","DE","39.7515737","-75.540374","Vandever Ave & Buena Vista St, Wilmington, DE 19802","2011-06-10","17:57:00","SH","0","1","0","0","The victim, who was shot several times in his right thigh, said three people tried to rob him, and one pulled out a handgun and shot him. He fled on foot and someone drove him to Wilmington Hospital.","1","0","man-shot-during-robbery"
"38","Man shot on Broom Street","0","400 N. Broom Street","Wilmington","DE","39.746358","-75.565459","400 N Broom St, Wilmington, DE 19805","2011-06-11","01:00:00","SH","0","1","0","0","Officers responding to a report of a shooting found witnesses who said the victim was driven to St. Francis Hospital, where police found the man in critical condition with a single gunshot wound.","0","1","man-shot-broom-street"
"39","Three teens shot, two several times","1","700 E. 26th Street","Wilmington","DE","39.752054","-75.5320461","700 E 26th St, Wilmington, DE 19802","2011-06-14","21:34:00","SH","0","3","0","0","Officers responding to a report of a shooting with multiple victims found a 16-year-old boy with bullet wounds to both legs, a 15-year-old boy with several gunshots to his arm, and an 18-year-old woman with a bullet wound to her leg. All were taken to Christiana Hospital with injuries that were not life threatening.","0","1","three-teens-shot-two-several-times"
"40","Man shot at 26th and Northeast","1","26th and Northeast Blvd.","Wilmington","DE","39.7493748","-75.5278618","Northeast Blvd & E 26th St, Wilmington, DE 19802","2011-06-19","00:16:00","SH","0","1","0","0","Police did not release any details about the shooting or the wounds, except that the victim was taken to Christiana Hospital in critical but stable condition.","1","0","man-shot-26th-and-northeast"
"41","32-year-old man shot, killed","1","27th and Locust streets","Wilmington","DE","39.7515961","-75.5297303","E 27th St & N Locust St, Wilmington, DE 19802","2011-06-21","03:00:00","SH","1","1","1","0","Phillip Costango was found with multiple gunshot wounds and taken to Christiana Hospital, where he died. Roughly 6 months later, police arrested Markevus Pulliam and Pierre Bailey for the shooting.","2","0","32-year-old-man-shot-killed"
"42","Man shot at playground","0","24th and Tatnall Streets","Wilmington","DE","39.7545213","-75.5384461","Tatnall St & W 24th St, Wilmington, DE 19802","2011-06-29","14:45:00","SH","0","1","0","0","Police responding to a report of a shooting found the victim with a single gunshot wound to his right foot. He told police he was at the playground on the corner when someone began shooting a handgun at him. He was taken to Christiana Hospital in good condition. A car driving past the scene also was struck but no one inside was hit.","0","1","man-shot-playground"
"43","Man found shot to death in pickup","1","800 W. Eighth Street","Wilmington","DE","39.746372","-75.557111","800 W 8th St, Wilmington, DE 19801","2011-06-30","23:57:00","SH","1","1","1","0","Dewey Lee, who lived near Newark, was found shot to death after his pickup truck crashed into a telephone poll. Police responding to the crash found him unconscious with a bullet wound in his torso. He was rushed to Christiana Hospital, where he was pronounced dead. At the time of the homicide, police said they did not know where Lee was shot and speculated he might have been driving himself to the hospital when he crashed.

More than a year later, Jeffery Kent was arrested and charged with first-degree murder and possession of a firearm during the commission of a felony in connection with Lee's death. He was committed to Howard R. Young Correctional Institution and was being held without bail.","1","0","man-found-shot-death-pickup"
"44","Father shot, killed in front of family","1","200 W. 28th Street","Wilmington","DE","39.7571551","-75.5354724","200 W 28th St, Wilmington, DE 19802","2011-06-30","08:20:00","SH","1","1","1","0","Teiso Richardson was shot in the head and chest as he answered the door to his apartment, as his wife and children watched. Richardson was pronounced dead at the scene.","0","1","father-shot-killed-front-family"
"45","Man shot in chest, killed","1","Ninth and Kirkwood Streets","Wilmington","DE","39.7418899","-75.5416301","E 9th St & Kirkwood St, Wilmington, DE 19801","2011-07-03","22:45:00","SH","1","1","1","0","Police responding to a report of a shooting found Braheem Curtis suffering from a gunshot wound to his chest. He was taken to Christiana Hospital, where he was pronounced dead. ","1","0","man-shot-chest-killed"
"46","Man shot in buttocks","1","800 Kirkwood Street","Wilmington","DE","39.740665","-75.54226","800 Kirkwood St, Wilmington, DE 19801","2011-07-03","21:12:00","SH","0","1","0","0","An unidentified man was shot in the left buttock and hospitalized in stable condition.","0","1","man-shot-buttocks"
"47","Man shot trying to burglarize home, neighbor says","1","Cedar and Franklin Streets","Wilmington","DE","39.73699","-75.5699669","S Franklin St & Cedar St, Wilmington, DE 19805","2011-07-14","00:58:00","SH","0","1","0","0","The victim, an unidentified man, was shot in the right thigh and taken to Christiana Hospital in stable condition. Police said that another man in the neighborhood said he fired at the man and another man who was trying to burglarize his home because he thought one of them was armed.

The case was cleared as an ""exceptional clearance"" because police determined the shooter was acting in self-defense.","0","0","man-shot-trying-burglarize-home-neighbor-says"
"48","Food market owner shot, killed during robbery","0","1200 Maryland Avenue","Wilmington","DE","39.735974","-75.570195","1200 Maryland Ave, Wilmington, DE 19805","2011-08-09","18:53:00","SH","1","1","1","0","Norman Alhout, owner of Johnny's Food Market, was shot in the head as he struggled with two men robbing his store. The men wore dark clothes and hoodies that were pulled down to partially cover their faces.","0","1","food-market-owner-shot-killed-during-robbery"
"49","Man shot after answering door","1","300 W. 32st St.","Wilmington","DE","39.7598859","-75.5322242","300 W 32nd St, Wilmington, DE 19802","2011-08-16","22:00:00","SH","0","1","0","0","Police responded to Wilmington Hospital after receiving a report that a shooting victim had walked into the emergency room. The victim told police he was shot while answering his front door.","0","1","man-shot-after-answering-door"
"50","Man shot several times after argument","1","1300 N. Walnut Street","Wilmington","DE","39.747041","-75.543065","1300 N Walnut St, Wilmington, DE 19801","2011-09-07","16:00:00","SH","0","1","0","0","Police responding to the a report of a shooting found the victim with several bullet wounds to his legs. Police said the victim and another man had argued earlier in the day and the attacker returned later. The two argued again and the man pulled out a gun and fired several shots at the victim, police said.","1","0","man-shot-several-times-after-argument"
"51","Teen shot, collapses into mother's arms","0","124 W. 23rd Street","Wilmington","DE","39.754514","-75.5396295","124 W 23rd St, Wilmington, DE 19802","2011-09-14","20:44:00","SH","1","1","1","0","Helm was shot once in the chest on the steps of his home, then went inside and collapsed in his mother's arms. ""Blood was gushing from his mouth,'' she told a reporter. Helm was rushed to Christiana Hospital, where he was pronounced dead.","1","0","man-killed-collapsed-mothers-arms"
"52","Man shot at, grazed","1","600 S. Locust St.","Wilmington","DE","39.7293925","-75.5463771","600 S Locust St, Wilmington, DE 19801","2011-09-22","00:47:00","SH","0","1","0","0","The victim, an unidentified male, said he was returning from an party in a Southbridge park when three men approached him dressed in black. One man pulled out a handgun, said, ""Hey,'' and fired several shots at him, with one bullet grazing his upper arm, he told police.","0","1","man-shot-grazed"
"53","Police find woman with several bullet wounds","1","1000 Elm Street","Wilmington","DE","39.740455","-75.5631927","1000 Elm St, Wilmington, DE 19805","2011-09-26","23:59:00","SH","0","1","0","0","Police responding to multiple reports of a shooting found the woman suffering from several bullet wounds on the sidewalk. She was taken to Christiana Hospital in critical condition and underwent surgery.

Police arrested Michael Crumpler, 20, but charges were dropped because the victim would not cooperate with investigators.","1","0","police-find-woman-several-bullet-wounds"
"54","Police find man dead on sidewalk","1","E. 17th and Thatcher Streets","Wilmington","DE","39.7461567","-75.5332075","Thatcher St & E 17th St, Wilmington, DE 19802","2011-10-02","02:36:00","SH","1","1","1","0","Police responding to a report of a body on the sidewalk found Ernie Cole dead of multiple gunshot wounds, including one to his head.","1","0","police-find-man-dead-sidewalk"
