city,state,POPESTIMATE2015,teen_incidents_tot,teen_vic_incidents,teen_perp_incidents,gva_incidents
Akron,Ohio,197542,19,14,7,163
Albany,Georgia,74843,7,5,2,96
Albany,New York,98469,8,2,6,104
Albuquerque,New Mexico,559121,16,12,8,318
Amarillo,Texas,198645,6,3,4,153
Antioch,California,110542,7,4,3,70
Atlanta,Georgia,463878,67,41,30,771
Aurora,Colorado,359407,12,5,7,84
Aurora,Illinois,200661,8,7,3,47
Austin,Texas,931830,9,6,4,240
Bakersfield,California,373640,17,10,8,205
Baltimore,Maryland,621849,102,89,14,2105
Baton Rouge,Louisiana,228590,45,22,31,467
Birmingham,Alabama,212461,33,29,9,512
Boston,Massachusetts,667137,37,19,21,529
Bradenton,Florida,54437,14,11,5,81
Bridgeport,Connecticut,147629,20,19,3,211
Brockton,Massachusetts,95314,7,4,3,85
Buffalo,New York,258071,41,33,10,437
Burlington,North Carolina,52472,6,2,5,69
Camden,New Jersey,76119,13,7,9,183
Canton,Ohio,71885,7,5,3,73
Cedar Rapids,Iowa,130405,8,7,5,89
Champaign,Illinois,86096,10,5,6,83
Charleston,South Carolina,132609,7,3,4,120
Charlotte,North Carolina,827097,38,22,21,661
Chattanooga,Tennessee,176588,40,33,9,416
Chicago,Illinois,2720546,1134,1095,73,7716
Cincinnati,Ohio,298550,74,53,29,701
Clarksville,Tennessee,149176,6,3,3,89
Cleveland,Ohio,388072,114,96,22,938
Colorado Springs,Colorado,456568,10,8,2,244
Columbia,Missouri,119108,8,3,6,116
Columbia,South Carolina,133803,16,7,9,248
Columbus,Georgia,200579,41,27,18,352
Columbus,Ohio,850106,85,73,23,779
Corpus Christi,Texas,324074,16,8,9,281
Dallas,Texas,1300092,33,21,13,577
Dayton,Ohio,140599,27,18,10,516
Denver,Colorado,682545,11,8,3,347
Des Moines,Iowa,210330,28,22,13,216
Detroit,Michigan,677116,73,58,24,743
Durham,North Carolina,257636,29,22,7,319
El Paso,Texas,681124,9,3,6,124
Elkhart,Indiana,52348,8,6,4,50
Evanston,Illinois,75527,7,4,3,23
Evansville,Indiana,119943,13,10,4,82
Everett,Washington,108010,8,5,5,37
Fayetteville,North Carolina,201963,15,10,8,227
Flint,Michigan,98310,34,25,10,397
Fort Myers,Florida,74013,15,14,2,177
Fort Smith,Arkansas,88194,6,4,3,36
Fort Wayne,Indiana,260326,29,24,6,316
Fort Worth,Texas,833319,18,14,8,224
Fresno,California,520052,35,26,15,458
Gary,Indiana,77156,23,22,1,252
Grand Rapids,Michigan,195097,22,17,7,197
Greensboro,North Carolina,285342,13,10,3,325
Greenville,North Carolina,90597,9,5,5,112
Greenville,South Carolina,64579,7,4,4,133
Hammond,Indiana,77614,11,11,3,64
Hampton,Virginia,136454,18,13,7,194
Hartford,Connecticut,124006,10,9,2,235
Houston,Texas,2296224,87,54,37,1409
Huntsville,Alabama,190582,16,13,5,316
Indianapolis,Indiana,853173,101,74,34,1162
Jackson,Mississippi,170674,24,20,5,487
Jackson,Tennessee,66975,10,8,6,135
Jacksonville,Florida,868031,86,70,22,887
Jersey City,New Jersey,264290,25,18,10,245
Joliet,Illinois,147861,14,12,6,85
Jonesboro,Arkansas,73907,10,5,5,75
Kalamazoo,Michigan,76041,10,7,4,63
Kansas City,Kansas,151306,8,6,3,138
Kansas City,Missouri,475378,34,27,10,635
Killeen,Texas,140806,7,3,4,107
Knoxville,Tennessee,185291,23,16,9,227
Lafayette,Louisiana,127657,17,9,11,119
Lake Charles,Louisiana,76070,10,3,8,50
Lakeland,Florida,104401,9,6,5,43
Lansing,Michigan,115056,6,2,4,98
Laredo,Texas,255473,7,5,2,61
Las Vegas,Nevada,623747,44,34,15,775
Lawton,Oklahoma,96655,6,2,5,55
Lexington,Kentucky,314488,32,20,15,408
Little Rock,Arkansas,197992,36,25,13,414
Long Beach,California,474140,10,8,3,176
Longview,Texas,82287,10,1,9,71
Los Angeles,California,3971883,36,32,6,659
Louisville,Kentucky,615366,77,64,23,771
Lubbock,Texas,249042,9,5,5,156
Madison,Wisconsin,248951,10,4,6,164
Memphis,Tennessee,655770,108,86,31,1267
Merced,California,82436,9,6,4,54
Miami,Florida,441003,58,52,17,414
Miami Gardens,Florida,113187,22,19,6,74
Milwaukee,Wisconsin,600155,140,111,33,1266
Minneapolis,Minnesota,410939,22,19,4,270
Mobile,Alabama,194288,28,18,14,265
Montgomery,Alabama,200602,18,12,8,281
Muncie,Indiana,70087,9,5,6,40
Nashville,Tennessee,654610,61,40,26,671
New Bedford,Massachusetts,94958,7,3,4,45
New Haven,Connecticut,130322,24,18,7,217
New Orleans,Louisiana,389617,150,112,49,1719
Newark,New Jersey,281944,25,18,9,384
Newport News,Virginia,182385,40,35,9,275
Norfolk,Virginia,246393,39,33,8,395
North Charleston,South Carolina,108304,20,9,16,181
North Las Vegas,Nevada,234807,7,7,2,39
Oakland,California,419267,48,43,7,1079
Ocala,Florida,58218,7,4,3,75
Oklahoma City,Oklahoma,631346,16,9,7,413
Omaha,Nebraska,443885,48,33,23,490
Orlando,Florida,270934,50,38,18,549
Paterson,New Jersey,147754,22,15,9,256
Peoria,Illinois,115070,17,14,5,249
Philadelphia,Pennsylvania,1567442,157,142,23,1966
Phoenix,Arizona,1563025,35,30,11,569
Pittsburgh,Pennsylvania,304391,57,50,12,513
Pomona,California,153266,7,7,NA,56
Pontiac,Michigan,59917,9,7,4,116
Portland,Oregon,632309,20,14,8,295
Portsmouth,Virginia,96201,14,13,2,155
Providence,Rhode Island,179207,18,12,7,218
Pueblo,Colorado,109412,10,8,2,114
Racine,Wisconsin,77742,15,10,7,85
Raleigh,North Carolina,451066,7,5,2,169
Reno,Nevada,241445,11,9,7,105
