all_juvenile_victims_and_suspects,any_juvenile_killed,any_juvenile_suspects,any_juvenile_victims,any_killed,any_suspects,date,day_of_week,hour,id,lat,lng,location,summary,time,title,year,year_month
false,false,false,true,false,false,"Jan. 1, 2011",6,22,2,39.7459333,-75.5554249,"N Madison St &amp; W 8th St, Wilmington, DE 19801","A 16-year-old boy, who police had not identified, was shot once as he walked near Eight and Madison streets. He was taken to Christiana Hospital for injuries that were not life threatening.",10:36 p.m.,16-year-old boy shot,2011,2011-01
false,false,false,true,false,false,"Jan. 1, 2011",6,18,3,39.7500469,-75.5341169,"700 E 23rd St, Wilmington, DE 19802",The boy was shot once in the torso and taken to Christiana Hospital in serious but stable condition.,6:40 p.m.,16-year-old shot in torso,2011,2011-01
false,false,false,false,false,false,"Jan. 1, 2011",6,12,4,39.7436705,-75.5569793,"N Madison St &amp; W 5th St, Wilmington, DE 19801","Officers responding to a report of shots fired found several spent casings but no victim, but they later received a call from Wilmington Hospital about a shooting victim who had arrived by private vehicle. The man, who was in stable condition, told police he was inside the corner market and heard several gunshots as he left. He started to run, the man told police, only to realize he had been struck in his left arm. He told police he flagged down a passing driver who drove him to the emergency room.",12:26 p.m.,Man shot in arm,2011,2011-01
false,false,false,false,false,false,"Jan. 2, 2011",0,21,5,39.742759,-75.5553429,"In the area of 500 W 5th St, Wilmington, DE 19801",Police called to the 500 block found the man with several gunshot wounds. He was taken to Christiana Hospital in critical but stable condition.,9:55 p.m.,Man shot several times on Fifth Street,2011,2011-01
false,false,false,false,false,true,"Jan. 2, 2011",0,0,6,39.7520219,-75.57895,"2511 W 4th St, Wilmington, DE 19805",Police said the two men were shot inside the 317 Nightclub and took private vehicles to local hospitals for treatment of minor injuries.,12:15 a.m.,Two shot at nightclub,2011,2011-01
false,false,false,false,false,false,"Jan. 3, 2011",1,21,7,39.748747,-75.55541,"In the area of 1000 Trenton Pl, Wilmington, DE 19801","Officers responding to a report of shots fired found a 21-year-old man, who they did not identify, with a gunshot wound to his left shoulder. He told police he was walking on the block when three or four gunmen opened fire on him. He told police he dove under a car to dodge bullets. He was taken to the hospital in stable condition.",9:39 p.m.,Man shot in shoulder,2011,2011-01
false,false,false,false,false,false,"Jan. 7, 2011",5,23,8,39.7422607,-75.5397979,"E 10th St &amp; Bennett St, Wilmington, DE 19801","Officers called to the block learned the victim, who police have not identified, had been taken by private vehicle to Wilmington Hospital, where he was treated for a gunshot wound to the knee. The victim would not cooperate with investigators, police said.",11:04 p.m.,Man shot in knee,2011,2011-01
false,false,false,false,false,false,"Jan. 10, 2011",1,23,9,39.752574,-75.539483,"In the area of 2200 N Market St, Wilmington, DE 19802","The man, who police did not identify, was shot multiple times and taken to Christiana Hospital in critical condition.",11:05 p.m.,23-year-old shot multiple times,2011,2011-01
false,false,false,false,true,false,"Jan. 22, 2011",6,20,10,39.745627,-75.554073,"In the area of 800 N Jefferson St, Wilmington, DE 19801","Police responding to a report of a person ""down in the street'' found Rashaun Carter in cardiac arrest with several gunshot wounds. He was rushed to Christiana Hospital, where he was pronounced dead.

Police said they conducted door-to-door canvases of the neighborhood, distributing flyers about the murder, and could not find any witnesses to the slaying.",8:30 p.m.,"Man shot, killed on Jefferson Street",2011,2011-01
false,false,false,false,false,false,"Jan. 26, 2011",3,17,11,39.7423701,-75.5537943,"In the area of 400 W 5th St, Wilmington, DE 19801","Police responding to a report of a shooting found the man with a gunshot wound to the left ankle. The victim told police a man dressed in black clothing tried to rob him, fired one shot and fled.",5:40 p.m.,Man shot in ankle,2011,2011-01
false,false,false,false,false,false,"Jan. 28, 2011",5,21,12,39.731425,-75.543096,"300 Townsend St, Wilmington, DE 19801","Police said three armed men burst through the victim's front door, robbed several people inside and shot the unidentified man during a struggle. He suffered numerous wounds and was taken in critical condition to Christiana Hospital, where he underwent surgery.",9:15 p.m.,Man shot during robbery,2011,2011-01
