city,state,incidents,victims,gva_incidents,POP_TEENS,POP_TOTAL,victimrate_over_teens,victimrate_over_total,incidentrate_over_teens,incidentrate_over_total,gvarate_over_teens,gvarate_over_total
Wilmington,Delaware,58,64,648,5438,71948,0.003362580780749225,2.54151808051847e-4,0.003047338832553985,2.303250760469863e-4,0.11916145641780067,0.009006504697837326
Chicago,Illinois,1171,1317,8758,203936,2720546,0.0018451166752594653,1.3831257191964933e-4,0.0016405707112595548,1.2297951535148775e-4,0.0429448454417072,0.0032192067327661434
Savannah,Georgia,56,57,630,9449,145674,0.001723538394085542,1.1179561408154018e-4,0.0016933008783998308,1.0983428751870616e-4,0.06667372208699333,0.004324725071049054
Trenton,New Jersey,32,36,485,6401,84225,0.001606891780302185,1.221218674468897e-4,0.0014283482491574977,1.0855277106390196e-4,0.07576941102952664,0.005758385277530424
New Orleans,Louisiana,113,126,2501,23848,389617,0.0015095605501509561,9.239843230659854e-5,0.0013538122394210956,8.28652607194098e-5,0.10487252599798726,0.00641912442218897
Syracuse,New York,40,48,513,10720,144142,0.001279317697228145,9.51442724139093e-5,0.0010660980810234541,7.928689367825775e-5,0.047854477611940296,0.0035589904399827947
Pittsburgh,Pennsylvania,55,63,758,16486,304391,0.001091835496785151,5.913446849611191e-5,9.53189719415608e-4,5.1625329639462775e-5,0.04597840592017469,0.0024902181733362683
Fort Myers,Florida,15,16,289,4217,74013,0.0010840475625868084,6.176521113086311e-5,0.0010162945899251329,5.7904885435184164e-5,0.0685321318472848,0.0039047194411792525
Cleveland,Ohio,113,125,1225,33066,388072,0.001080090900450182,9.203005038829319e-5,9.764021740069645e-4,8.319516555101705e-5,0.03704711788544124,0.0031566307283184564
Richmond,Virginia,35,41,741,11135,220289,0.0010520238629803066,5.317689813965161e-5,8.98069151324652e-4,4.539491304604406e-5,0.06654692411315671,0.003363763056711865
Cincinnati,Ohio,60,69,897,19240,298550,0.0010246510246510246,6.603344737660597e-5,8.91000891000891e-4,5.7420389023135634e-5,0.046621621621621624,0.003004521855635572
West Palm Beach,Florida,17,21,289,5991,106779,0.00100150225338007,5.619082403843452e-5,8.107399194029139e-4,4.548780993587557e-5,0.048239025204473374,0.002706524691184596
Chattanooga,Tennessee,36,38,532,11047,176588,9.828136921465427e-4,6.148290289908067e-5,9.310866557177773e-4,5.8246960641234316e-5,0.04815787091518059,0.0030126622420549526
Rocky Mount,North Carolina,15,17,84,4956,55806,9.800530381644183e-4,8.703621218404575e-5,8.647526807333103e-4,7.679665780945213e-5,0.01694915254237288,0.0015052144930652617
Gary,Indiana,24,25,332,7447,77156,9.591590093805751e-4,9.257682024543966e-5,9.207926490053521e-4,8.887374743562208e-5,0.044581710756009134,0.004302970605008036
Bradenton,Florida,11,11,148,3404,54437,9.232835319791841e-4,5.7733841741042723e-5,9.232835319791841e-4,5.7733841741042723e-5,0.043478260869565216,0.0027187390928963755
